file,line,type,commit,author,date,time,timezone,datetime,depth,length
vite.config.ts,1,ts,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,34
vite.config.ts,2,ts,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,43
vite.config.ts,3,ts,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,0
vite.config.ts,4,ts,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,28
vite.config.ts,5,ts,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,28
vite.config.ts,6,ts,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,18
vite.config.ts,7,ts,e2830f06,Issac Roy,2025-04-11,01:03:20,-07:00,2025-04-11T01:03:20-07:00,0,26
vite.config.ts,8,ts,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,1
tailwind.config.js,1,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,42
tailwind.config.js,2,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,65
tailwind.config.js,3,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,0
tailwind.config.js,4,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,15
tailwind.config.js,5,js,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,20
tailwind.config.js,6,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,9
tailwind.config.js,7,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,53
tailwind.config.js,8,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,6
tailwind.config.js,9,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,1
tailwind.config.js,10,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,7
tailwind.config.js,11,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,7
tailwind.config.js,12,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,8
tailwind.config.js,13,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,8
tailwind.config.js,14,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,9
tailwind.config.js,15,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,10
tailwind.config.js,16,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,0
tailwind.config.js,17,js,f02f8a39,Issac Roy,2025-04-10,00:57:13,-07:00,2025-04-10T00:57:13-07:00,0,0
tailwind.config.js,18,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,1
tailwind.config.js,19,js,1a7cbd3a,Issac Roy,2025-04-11,17:16:03,-07:00,2025-04-11T17:16:03-07:00,0,72
tailwind.config.js,20,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,1
postcss.config.js,1,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,15
postcss.config.js,2,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,9
postcss.config.js,3,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,15
postcss.config.js,4,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,16
postcss.config.js,5,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,1
postcss.config.js,6,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,0
index.html,1,html,7bd293d0,Issac Roy,2024-09-27,01:02:00,-07:00,2024-09-27T01:02:00-07:00,0,14
index.html,2,html,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,15
index.html,3,html,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,5
index.html,4,html,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,23
index.html,5,html,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,71
index.html,6,html,1ef40ba1,Issac Roy,2024-12-25,17:56:41,-08:00,2024-12-25T17:56:41-08:00,0,63
index.html,7,html,7bd293d0,Issac Roy,2024-09-27,01:02:00,-07:00,2024-09-27T01:02:00-07:00,0,60
index.html,8,html,7bd293d0,Issac Roy,2024-09-27,01:02:00,-07:00,2024-09-27T01:02:00-07:00,0,69
index.html,9,html,7bd293d0,Issac Roy,2024-09-27,01:02:00,-07:00,2024-09-27T01:02:00-07:00,0,92
index.html,10,html,5421b5c2,Issac Roy,2025-04-10,12:49:27,-07:00,2025-04-10T12:49:27-07:00,0,23
index.html,11,html,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,6
index.html,12,html,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,5
index.html,13,html,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,20
index.html,14,html,53e9b13e,Issac Roy,2024-10-31,23:53:24,-07:00,2024-10-31T23:53:24-07:00,0,51
index.html,15,html,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,6
index.html,16,html,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,6
eslint.config.js,1,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,26
eslint.config.js,2,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,28
eslint.config.js,3,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,49
eslint.config.js,4,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,53
eslint.config.js,5,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,39
eslint.config.js,6,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,0
eslint.config.js,7,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,30
eslint.config.js,8,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,21
eslint.config.js,9,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,0
eslint.config.js,10,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,66
eslint.config.js,11,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,24
eslint.config.js,12,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,17
eslint.config.js,13,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,17
eslint.config.js,14,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,24
eslint.config.js,15,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,1
eslint.config.js,16,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,9
eslint.config.js,17,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,25
eslint.config.js,18,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,29
eslint.config.js,19,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,1
eslint.config.js,20,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,7
eslint.config.js,21,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,39
eslint.config.js,22,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,40
eslint.config.js,23,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,6
eslint.config.js,24,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,29
eslint.config.js,25,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,1
eslint.config.js,26,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,1
eslint.config.js,27,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,1
eslint.config.js,28,js,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,0
src/vite-env.d.ts,1,ts,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,36
src/main.tsx,1,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,34
src/main.tsx,2,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,45
src/main.tsx,3,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,48
src/main.tsx,4,tsx,31074b53,Issac Roy,2024-10-31,21:27:19,-07:00,2024-10-31T21:27:19-07:00,0,41
src/main.tsx,5,tsx,31074b53,Issac Roy,2024-10-31,21:27:19,-07:00,2024-10-31T21:27:19-07:00,0,27
src/main.tsx,6,tsx,4877ab7a,Issac Roy,2024-09-25,22:39:02,-07:00,2024-09-25T22:39:02-07:00,0,27
src/main.tsx,7,tsx,4877ab7a,Issac Roy,2024-09-25,22:39:02,-07:00,2024-09-25T22:39:02-07:00,0,27
src/main.tsx,8,tsx,31074b53,Issac Roy,2024-10-31,21:27:19,-07:00,2024-10-31T21:27:19-07:00,0,32
src/main.tsx,9,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,0
src/main.tsx,10,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,51
src/main.tsx,11,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,11
src/main.tsx,12,tsx,a5cbd10b,Issac Roy,2025-04-11,01:04:30,-07:00,2025-04-11T01:04:30-07:00,0,46
src/main.tsx,13,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,6
